15088540,490
15088540,306
12008112,729
12004511,366
15108924,366
13715467,181
00969684,586
00969684,586
12004524,545
12000039,586
12000039,586
12000039,586
00895272,586
00895272,556
00389598,700
12040846,725
12040846,556
14701764,556
14701764,74
14701764,74
12004537,181
00669995,74
00669995,74
00669995,74
00669995,74
14947815,306
12004550,366
12004550,366
01019617,586
00546521,556
00546521,556
00546521,556
13038011,392
13038011,392
13831973,306
15046914,688
01418262,586
01418262,586
15398798,30
01294463,28
01294463,28
01294463,28
00326509,28
00326509,28
00326509,28
00326509,74
00326509,74
00326509,74
00326509,74
00326509,74
00326509,556
00650963,28
12657163,74
12657163,74
12006981,285
12006981,366
00939641,556
00939641,556
12004602,459
12008151,280
01259909,864
14539615,306
15012035,586
15012035,586
15012035,586
13463540,688
14219737,490
00714754,28
00714754,28
00714754,28
00714754,28
00714754,28
00714754,586
12015379,306
12046748,586
00576187,30
12004641,586
12004641,586
12004641,586
14487706,729
12000260,279
12000260,366
14852681,103
12004654,306
12000299,306
14376907,306
15071120,366
15071120,366
13522391,306
00461943,366
14369614,754
14410161,366
12008177,399
01203385,545
14942992,209
00259078,74
00259078,74
12000390,74
12000390,28
12000390,28
12000390,28
12000390,28
00862083,864
12000442,28
12000442,28
13925651,28
13925651,28
13925651,28
13925651,74
13925651,556
15289975,306
03968109,556
03968109,556
14586987,672
12005486,545
13765036,366
12691743,74
12691743,74
14543164,30
12000494,586
12000494,586
12000494,586
15031145,366
01371241,181
01056251,586
01056251,586
01056251,586
12008203,864
00757771,864
15184948,30
00576824,28
00576824,28
00300340,556
00570558,74
00570558,74
00570558,74
00570558,74
01167934,209
12005603,672
00149202,306
15021239,209
15021239,209
12368004,306
12000715,285
12000754,754
00416677,688
13975103,688
12000767,700
12000767,700
12000767,30
13378975,864
00600133,545
12008242,729
00822420,672
14280525,688
12000884,586
12000884,586
12000884,586
12000884,586
13130779,688
12492492,28
12492492,28
12492492,28
12004446,28
12004446,28
12000949,586
12000949,556
00789257,366
14369653,729
14369653,729
12001105,74
12001105,74
12001105,74
12001105,74
12001105,74
01422591,285
00055940,74
00055940,74
00055940,74
00055940,74
00055940,74
13337414,74
01188214,545
00362779,586
00362779,586
12001157,586
12001157,586
12001157,586
12001196,556
12001196,556
12001196,556
00603422,28
00603422,28
15273296,688
00405354,181
00405354,181
12005785,725
15322215,688
15112655,688
00981813,74
00981813,74
14766959,74
01107055,74
01107055,74
12001235,74
12001235,74
12001235,74
12001235,28
12001235,28
12001235,28
12017472,545
12017472,545
13606280,392
12443742,672
00609246,586
00609246,586
12009087,545
12009087,545
14653001,545
12005811,366
13038596,392
13038596,285
00098476,556
00098476,556
01098722,74
01098722,74
01098722,74
01098722,74
00235561,74
00235561,74
00235561,74
00235561,74
00235561,74
12001378,28
12001378,28
15107897,366
15266003,688
00181130,490
12008268,306
12008268,459
12006409,366
12006409,306
12006409,729
12006409,700
01031837,700
14460809,586
01040287,74
00526345,586
00526345,586
00526345,586
12008281,729
12008281,366
15083730,688
12001495,586
12001495,586
12001495,586
12001508,74
00943476,181
00870494,586
00870494,586
00870494,586
12005837,366
12005837,366
00171341,181
12267592,556
12267592,556
12005863,729
12005863,729
14982265,729
00980370,586
00980370,586
00980370,586
00844845,754
13877642,700
15300843,366
12005928,392
12005928,30
01406341,181
13131481,586
12001729,74
14383004,209
00758850,399
13643096,280
00928994,725
12001794,725
00856116,279
01001365,28
01001365,28
01001365,28
01001365,28
13974700,688
00154545,240
14804958,688
15258268,688
00012806,556
01411905,28
01411905,28
01411905,28
01411905,28
01411905,28
12008320,399
12006162,306
05062504,700
07087839,700
07087839,700
14798627,28
13695148,754
12038493,688
00723568,688
01400205,556
01400205,586
15312790,392
12179751,181
01201487,688
14642198,280
13511172,181
12002106,586
12002106,586
12002106,586
14687971,545
12006253,700
12002288,688
12002288,366
12320528,864
01232323,74
01232323,556
01232323,556
14976870,306
00182729,28
00182729,28
00182729,28
00182729,556
15034837,688
12494845,700
12494845,700
15136991,688
05448305,28
05448305,28
05448305,28
12006279,181
12017485,459
12017485,366
00411763,545
00585495,556
14095431,545
12842361,366
12842361,279
12842361,279
12006331,556
12006344,725
00013495,306
00939316,28
00939316,28
00939316,28
12002561,366
00140830,688
12002574,74
12002574,74
12002574,74
12002574,74
12002574,74
12002626,74
12002626,74
12002626,74
15517228,392
12006383,74
12006383,74
12037492,545
12002717,74
12002717,74
12002717,74
12002717,74
12002717,74
00843844,74
00843844,74
01155870,490
01155870,700
15303742,725
00528321,209
00528321,209
14165787,545
14165787,74
14165787,74
14165787,74
15373032,181
13837849,181
00282959,30
12002873,490
12002873,556
12002873,556
12006422,279
15134911,30
12307866,74
12307866,74
12307866,74
12307866,74
12307866,74
14269774,700
12006448,459
12007423,545
13377090,366
00713493,366
00713493,700
00646764,28
00646764,28
00646764,28
12006487,688
12001443,28
14621723,586
03545141,586
03545141,586
00880205,74
00880205,74
00880205,556
12008424,103
00196405,864
00761593,586
00761593,556
00761593,556
13037478,306
15432338,672
13292239,74
00952433,725
14839265,209
14839265,279
13013831,688
12003198,586
12003198,586
12003198,28
12003198,28
12006513,725
12006513,725
01233246,586
13417780,366
13417780,366
15295474,754
00999103,545
00999103,545
12006539,754
12006539,754
12003302,545
12010049,181
01194870,74
12007566,725
12007566,279
12007566,366
14095912,688
14095912,306
00949924,864
00949924,864
13369290,209
13369290,279
12008450,729
13229410,509
01310973,688
00535614,28
00730939,586
00730939,586
00730939,586
00897716,74
00897716,74
14919098,688
13237353,28
13237353,28
13237353,28
12002028,28
12002028,586
12002028,586
12002028,556
01074035,306
12927667,285
12927667,285
15100708,688
00203763,209
12015483,279
13309399,74
12006669,545
12002197,725
12006695,556
12006695,556
12603044,209
12603044,74
15101605,280
15101605,366
15101605,279
01106067,545
00188930,586
00188930,586
14760446,864
00388922,688
00453974,459
00453974,279
00580932,688
00580932,366
00028458,181
14653027,725
00383436,586
00383436,586
00383436,586
15315143,306
00747293,74
00747293,74
00747293,74
00747293,74
00747293,74
00838826,74
00838826,74
